ObjectId,elektricka,trolejbus,autobus,x,y
1,False,False,True,21.1882991790771,48.7584495544433
2,False,False,True,21.1882991790771,48.75830078125
3,False,False,True,21.188039779663,48.7585411071777
4,False,False,False,21.1852703094482,48.7590293884277
5,False,False,False,21.1836204528808,48.7595100402832
6,False,False,True,21.2609500885009,48.7307815551757
7,False,False,True,21.2609500885009,48.7305488586425
8,False,False,True,21.2403507232666,48.7273216247558
9,False,False,True,21.2422695159912,48.7280197143554
10,False,False,True,21.2397594451904,48.7282409667968
11,False,False,True,21.2424602508544,48.7274093627929
12,True,False,True,21.2412204742431,48.7278289794921
13,True,False,True,21.2416706085205,48.7274208068847
14,False,False,True,21.241708,48.727657
15,False,False,True,21.2490997314453,48.7506217956542
16,False,False,True,21.2488594055175,48.7519302368164
17,True,False,True,21.260929107666,48.7126312255859
18,True,False,True,21.2608890533447,48.7123908996582
19,False,False,True,21.2593803405761,48.711311340332
20,False,False,True,21.2595901489257,48.7112808227539
21,False,False,True,21.2437801361083,48.744400024414
22,False,False,True,21.2438602447509,48.7442207336425
23,False,False,True,21.2603702545166,48.6889610290527
24,False,False,True,21.2602806091308,48.6895790100097
25,True,False,False,21.261360168457,48.6885108947753
26,True,False,False,21.2620296478271,48.6884498596191
27,False,False,True,21.2603702545166,48.6889610290527
28,False,False,True,21.2600593566894,48.6878509521484
29,False,False,True,21.260331,48.689174
30,False,False,True,21.260307,48.688886
31,False,False,True,21.259408,48.688268
32,False,False,True,21.2277107238769,48.7328186035156
33,False,False,True,21.2279300689697,48.7325706481933
34,False,False,True,21.2737693786621,48.7569694519042
35,False,False,True,21.2738094329833,48.7566986083984
36,False,False,True,21.2686290740966,48.7589302062988
37,False,False,True,21.2684803009033,48.7584114074707
38,False,False,True,21.2391300201416,48.7342109680175
39,False,False,True,21.2416095733642,48.7350311279296
40,False,False,True,21.2405204772949,48.7341690063476
41,True,False,False,21.2407608032226,48.7345008850097
42,True,False,False,21.2407207489013,48.7342796325683
43,False,False,True,21.2795906066894,48.7067184448242
44,False,False,True,21.2795104980468,48.7053794860839
45,False,False,True,21.2071495056152,48.773998260498
46,False,False,True,21.207139968872,48.7738304138183
47,False,False,True,21.3036499023437,48.7270011901855
48,False,False,True,21.2620792388916,48.6952400207519
49,False,False,True,21.2620391845703,48.6947784423828
50,True,False,True,21.2644996643066,48.6955604553222
51,True,False,True,21.2646007537841,48.6951217651367
52,False,False,True,21.262051,48.694248
53,False,False,True,21.1968994140625,48.6628913879394
54,False,False,True,21.1973209381103,48.6625709533691
55,False,True,True,21.2742195129394,48.7212982177734
56,False,False,True,21.2745304107666,48.7205581665039
57,False,False,True,21.2731208801269,48.720718383789
58,False,False,True,21.209150314331,48.6080818176269
59,False,False,True,21.2088394165039,48.6079902648925
60,False,False,True,21.2303791046142,48.7048797607421
61,False,False,True,21.2419490814208,48.7469215393066
62,False,False,True,21.2419490814208,48.7469215393066
63,False,False,True,21.2314395904541,48.7495803833007
64,False,False,True,21.23118019104,48.749210357666
65,False,False,False,21.2295303344726,48.7493095397949
66,False,False,False,21.2289295196533,48.74951171875
67,False,False,True,21.230749130249,48.7494888305664
68,False,False,True,21.2696800231933,48.7358894348144
69,False,False,True,21.269510269165,48.7353515625
70,False,False,True,21.3014507293701,48.7308197021484
71,False,True,True,21.222240447998,48.7128791809082
72,False,True,True,21.2217693328857,48.713020324707
73,False,False,True,21.2842006683349,48.6867904663085
74,False,False,True,21.284439086914,48.686408996582
75,True,False,False,21.2845497131347,48.6867294311523
76,True,False,False,21.2845001220703,48.6866912841796
77,False,False,True,21.2077293395996,48.7473716735839
78,False,False,True,21.2075901031494,48.7474212646484
79,True,False,False,21.2545890808105,48.716438293457
80,False,False,True,21.2533206939697,48.7172508239746
81,True,False,False,21.2548503875732,48.7163581848144
82,False,True,True,21.2550601959228,48.7161483764648
83,False,False,True,21.2536602020263,48.7157516479492
84,False,False,True,21.2533206939697,48.7172508239746
85,False,False,True,21.2820205688476,48.7057609558105
86,False,False,True,21.281509399414,48.7060012817382
87,False,False,True,21.2364997863769,48.7041091918945
88,False,False,True,21.2365608215332,48.704418182373
89,True,False,False,21.237060546875,48.7148208618164
90,True,False,False,21.2374305725097,48.7052307128906
91,False,False,True,21.2182292938232,48.7098503112792
92,False,False,True,21.217960357666,48.7098388671875
93,False,False,True,21.2452907562255,48.7514610290527
94,False,False,True,21.2841300964355,48.7412681579589
95,False,False,True,21.2839107513427,48.7400512695312
96,False,False,True,21.2124900817871,48.6343688964843
97,False,True,True,21.2805194854736,48.7423706054687
98,False,True,True,21.2803401947021,48.742088317871
