Column1,id,geometry,x,y,,,,Typ budovy,,,,Pocet-bytov
65,17583,POINT (21.2242577 48.7058278),21.2242577,48.7058278,,,,Rodinny dom,,,,1
66,17586,POINT (21.2231985 48.7055403),21.2231985,48.7055403,,,,Rodinny dom,,,,1
67,17587,POINT (21.2240556 48.7064147),21.2240556,48.7064147,,,,Rodinny dom,,,,1
68,17589,POINT (21.2276106 48.7064775),21.2276106,48.7064775,,,,Rodinny dom,,,,1
69,17591,POINT (21.2270548 48.7072141),21.2270548,48.7072141,,,,Rodinny dom,,,,1
70,17551,POINT (21.2270403 48.7066436),21.2270403,48.7066436,,,,Rodinny dom,,,,1
71,17548,POINT (21.2269262 48.7066768),21.2269262,48.7066768,,,,Rodinny dom,,,,1
72,17547,POINT (21.2255567 48.7076486),21.2255567,48.7076486,,,,Rodinny dom,,,,1
73,17544,POINT (21.2257947 48.7073582),21.2257947,48.7073582,,,,Rodinny dom,,,,1
74,17500,POINT (21.2249119 48.7057386),21.2249119,48.7057386,,,,Rodinny dom,,,,3
75,17501,POINT (21.2251002 48.7058463),21.2251002,48.7058463,,,,Rodinny dom,,,,1
76,17503,POINT (21.2254767 48.7060618),21.2254767,48.7060618,,,,Rodinny dom,,,,1
77,17506,POINT (21.2242316 48.7062781),21.2242316,48.7062781,,,,Rodinny dom,,,,1
78,17507,POINT (21.2248125 48.7066254),21.2248125,48.7066254,,,,Rodinny dom,,,,1
79,17509,POINT (21.2262335 48.7062198),21.2262335,48.7062198,,,,Rodinny dom,,,,1
80,17512,POINT (21.2263606 48.7062399),21.2263606,48.7062399,,,,Rodinny dom,,,,1
81,17514,POINT (21.2266148 48.7062801),21.2266148,48.7062801,,,,Rodinny dom,,,,1
82,17516,POINT (21.2268857 48.7062601),21.2268857,48.7062601,,,,Rodinny dom,,,,1
83,17518,POINT (21.2271612 48.7061826),21.2271612,48.7061826,,,,Rodinny dom,,,,1
84,17524,POINT (21.2274327 48.7061064),21.2274327,48.7061064,,,,Rodinny dom,,,,1
85,17525,POINT (21.2275846 48.7060649),21.2275846,48.7060649,,,,Rodinny dom,,,,1
